Date,Qobs,Qmhm,Qmhm_mat,Melt_total
12/19/2009,246,263.8066259,212.7121502,0.623
12/20/2009,223,264.9410505,213.5856453,1.129
12/21/2009,232,260.2631511,210.1403662,1.299
12/22/2009,238,250.8079761,194.1250302,1.17
12/23/2009,247,234.9546241,176.3991847,1.143
12/24/2009,244,220.7065821,162.8329898,1.718
12/25/2009,222,213.7226904,155.6503456,1.547
12/26/2009,238,210.8110672,151.9926709,1.29
12/27/2009,243,208.6639418,148.8798329,1.147
12/28/2009,228,207.8665036,147.8486628,0
12/29/2009,196,200.6294775,142.3867482,0
12/30/2009,180,193.0956585,136.90917,0.56
12/31/2009,186,192.4668152,136.5624164,0.093
1/1/2010,181,193.1659057,137.3772341,0.54
1/2/2010,189,195.3782952,140.2636055,1.825
1/3/2010,206,203.7223146,147.5180812,1.246
1/4/2010,215,210.4398611,152.4359117,1.894
1/5/2010,220,217.4798214,157.2596176,1.008
1/6/2010,203,225.1214294,163.3887077,1.117
1/7/2010,193,227.8215456,166.8540605,0.953
1/8/2010,186,227.2755549,168.1850116,1.387
1/9/2010,188,223.4904321,164.1484558,1.504
1/10/2010,186,218.130801,158.4996873,1.974
1/11/2010,194,211.983676,153.2516268,0.687
1/12/2010,179,198.4842992,142.4032939,0.567
1/13/2010,175,182.0907045,130.4376934,1.587
1/14/2010,177,180.7196728,129.8896384,1.919
1/15/2010,192,189.4317298,136.7373434,1.519
1/16/2010,190,197.9368045,143.8873816,1.476
1/17/2010,189,202.9436993,149.4078612,1.673
1/18/2010,182,202.9752824,151.268946,0.494
1/19/2010,167,199.5519863,149.986055,1.435
1/20/2010,172,202.2877354,154.6588162,3.038
1/21/2010,194,220.4062657,173.3151763,3.341
1/22/2010,211,242.8250483,195.4972911,3.063
1/23/2010,223,259.6863868,213.1053169,2.606
1/24/2010,217,278.3136387,232.6811978,2.307
1/25/2010,217,293.9777413,249.2480437,2.17
1/26/2010,210,301.1022958,257.7147012,1.963
1/27/2010,209,306.1194008,264.2982309,2.715
1/28/2010,214,306.9123757,266.1772724,2.284
1/29/2010,217,295.060359,255.404987,2.03
1/30/2010,203,277.2484935,239.4985692,1.763
1/31/2010,196,263.3018196,227.2024235,2.326
2/1/2010,192,254.068602,219.483689,2.312
2/2/2010,193,246.1821509,212.965505,1.427
2/3/2010,181,228.7583884,196.9042394,0
2/4/2010,171,208.1212983,176.7081794,0.233
2/5/2010,166,191.7008155,161.5992295,0
2/6/2010,157,177.166986,147.7417688,0
2/7/2010,151,160.3811385,131.9639475,0
2/8/2010,145,150.5067177,122.9041253,1.97
2/9/2010,153,147.5900909,120.7266272,1.535
